Timestamp,Who is your favorite music artist (broadly defined)?,What physical height would you like to be?,"If you had to live in city, but could pick any city in the world, what city would you live in?","If you could have 30 minutes to talk with any person, living or dead, who would you pick?","If you could travel to any location in the world for vacation, where would you go?",On a scale of 1 (gross) to five (awesome) how much do you like pizza?,Is Chicago-style deep dish actually pizza or is it really casserole?,What sport do you most enjoy watching?,Which is the most difficult to spell? ,What is the optimal number of people to hang out with?,Do you think you talk more or less than the average person?,"If you had a time machine and could visit any year you like, which year would you pick?",What's you favorite inspirational quote? You don't need to do this from memory. Feel free to look something up and then paste it in here. 
8/27/2018 16:28:13,Ariana Grande,5'8,beijing,,anywhere that has a beach and fresh sea food,4,pizza,football,hors d'oeuvre,6-10,Less,2015,
8/27/2018 16:57:16,Panic! at the Disco,"5'6""","Santorini, Greece ",Dr Marian Diamond,"Nice, France",1,no opinion,Tennis,lieutenant,5,More,2038,"""They used to say that if Man was meant to fly, he'd have wings. But he did fly. He discovered he had to."" "
8/27/2018 17:00:14,Khalid,5’ 7”,Asheville North Carolina ,Barack Obama ,Italy ,4,pizza,Football ,lieutenant,7,More,1945,“A ship in the harbor is safe but that’s not what ships are made for” 
8/27/2018 17:59:23,"Elton John, famous singer/songwriter because he creates great music.",6'7,Boston,Chris Sale,The Bahamas,5,pizza,Football ,daiquiri,6,Less,1985 (Bears SuperBowl),"""If you ain't first, you're last"" -Reese Bobby"
8/27/2018 19:17:06,Travis Scott,5'10,St. Lucia,W.E.B DuBois,Lake Retba,5,no opinion,Gymnastics,lieutenant,4,Less,1980's,"""It always seems impossible until it's done."" - Nelson Mandela"
8/27/2018 19:42:27,Rush,Shorter,"Bergen, Norway",Anastasia Romanov,Siberia,5,casserole,Competitive Darts,lieutenant,2,More,"October 21, 2015",Hang in there
8/27/2018 21:03:41,Carrie Underwood,"5'5""",Barcelona,Melissa Benoist ,Barcelona ,4,pizza,Soccer,hors d'oeuvre,4,Less,1925,"Happiness can be found, even in the darkest of times, if one only remembers to turn on the light."
8/27/2018 23:07:00,Aminè,5’3”,Portland,Jeffery Dahmer ,Fiji,5,pizza,Puppy super bowl,hors d'oeuvre,4,More,1969,Take what you can get and give nothing back 
8/28/2018 11:09:19,Drake,6'4,Los Angeles,,,5,no opinion,Basketball and track ,daiquiri,5,More,,
8/28/2018 13:19:47,Lorde,"5'6""",Chicago,my grandpa,"Santorini, Greece",5,pizza,basketball,hors d'oeuvre,4,Less,1922,Difficult roads lead to beautiful destinations
8/28/2018 16:28:00,Queen,"my height, 5'8",Somewhere in Sweden or Italy (Venice),Julius Caesar,Italy,5,pizza,Curling (but baseball if you need a second answer),hors d'oeuvre,1,More,1813,"“Self-love, my liege, is not so vile a sin, as self-neglecting.” Henry V Act 2 Scene 3"
8/28/2018 18:29:00,Daddy Yankee,5'11'',Seattle,Daddy Yankee,Puerto Rico,5,pizza,Soccer,hors d'oeuvre,3,More,1999,"""I would rather die on my feet than on my knees."""
8/28/2018 20:23:48,Florance and the Machine,6' exactly,"Sienna, Italy",Robin Williams,Japan,5,no opinion,Basketball,daiquiri,9,Less,"1,900,000 BC","A gentleman is someone who can play the accordian, but doesnt"
8/30/2018 16:07:22,Nathaniel Radcliffe and the Night Sweats (folk),"5’ 9""",Seattle,My grandmother,Ireland,5,pizza,Baseball,daiquiri,5,Less,1925,Live every day like it’s your last
9/3/2018 14:50:47,taylor swift,5'9,melbourne,,Australia,4,pizza,soccer,hors d'oeuvre,4,More,1990s,I've failed over and over and over again in my life and that is why I succeed.
1/8/2019 16:12:21,Ed Sheeran ,5'6 ,"Sydney, Australia ",Abraham Lincoln,Bora Bora ,4,pizza,Football,hors d'oeuvre,3,Less,1970,"She believed she could, so she did."
1/8/2019 17:10:06,Kip Moore,"5'7""",Barcelona,Ruth Bader Ginsburg,Vietnam ,5,pizza,Hockey ,hors d'oeuvre,6,More,1922,Never let the fear of striking out keep you from playing the game  
1/9/2019 11:31:06,Luke Combs ,5'10,Nashville ,Meghan Markle ,Tuscany Italy ,5,no opinion,Baseball ,hors d'oeuvre,3,Less,1925,"You are braver than you believe, stronger than you seem, smarter than you think, and loved more than you know"
1/9/2019 14:16:30,Selena Gomez,5' 3'',"Toronto, Ontario",SANS,"London, United Kingdom",3,no opinion,Soccer,hors d'oeuvre,3,Less,1992,The best preparation for tomorrow is doing your best today. 
1/9/2019 14:24:02,,5' 8'',"Sydney, Australia",,Fiji,3,pizza,Hockey,hors d'oeuvre,3,Less,,She dreamed she could so she did.
1/9/2019 14:26:07,Tiesto,6’,Seattle,Einstein,Alps,5,casserole,Table tennis,hors d'oeuvre,5-7,Less,1400’s,The only true wisdom is in knowing you know nothing. 
1/9/2019 14:31:04,,5'6,"Sydney, Australia ",Meryl Streep ,Bora Bora,5,no opinion,,hors d'oeuvre,3,More,3000,It does not matter how slowly you go as long as you do not stop
1/9/2019 14:31:10,Toby Keith,5'8,"San Antonio, Texas",Great Grandma,Hawaii,5,pizza,Volleyball,hors d'oeuvre,3,Less,1900,"""Just do it"""
1/9/2019 14:34:37,Dan + Shay,"6'2""","Boston, MA",Elon Musk,Amalfi Coast- Italy,3,pizza,Baseball,hors d'oeuvre,4,Less,2000,Do or do not. There is no try. 
1/9/2019 14:35:45,Beyoncé ,165cm,Tokyo,Hillary Clinton ,London,3,pizza,N/A,hors d'oeuvre,2,Less,1945,Hard work beats talent when talent doesn’t work hard.
1/9/2019 14:43:05,Keri Hilson,5'4,"Paris, France",Andy Warhol ,"Barcelona, Spain ",5,pizza,Competitive Cheerleading ,hors d'oeuvre,4,More,2050 to see if we still exist or if the world is too hot to live in yet... ,“Leave it better than you found it.” –Bruce A. Nordstrom
1/9/2019 14:56:56,My Chemical Romance,"5'2""",Toronto,Rivers Cuomo,Japan,4,pizza,eSports,hors d'oeuvre,2,Less,6298,"""Hope is the thing with feathers that perches in the soul - and sings the tunes without the words - and never stops at all."" - Emily Dickinson"
1/9/2019 15:10:07,Drake,6 feet,San Francisco ,Jesus Christ,Hawaii,5,pizza,Football,hors d'oeuvre,6,Less,1985,"All our dreams can come true, if we have the courage to pursue them. – Walt Disney"
1/9/2019 15:10:28,Hunter Hayes,5 feet 2 inches,New York City,my grandma,Bali,4,pizza,baseball,hors d'oeuvre,3,More,1955,"""It's kind of fun to do the impossible."" (Walt Disney)"
1/9/2019 15:10:33,The Eagles,"6'2""",San Fransisco ,Dwyane Wade,New Zealand,5,pizza,Basketball,hors d'oeuvre,5,Less,2776,"“You don't become a runner by winning a morning workout. The only true way is to marshal the ferocity of your ambition over the course of many day, weeks, months, and (if you could finally come to accept it) years. The Trial of Miles; Miles of Trials.”"
1/9/2019 15:16:24,Ariana Grande,5 ft 4 inch,Atlanta,Julia Child,"Seoul, South Korea",4,no opinion,N/A,hors d'oeuvre,3,More,1997,Run toward your discomfort.
1/9/2019 15:17:01,Coldplay,6 ft,New York,Barack Obama,China,5,no opinion,Soccer,hors d'oeuvre,4,Less,1920,"The journey of a thousand miles begins with one step.
-Lao Tzu"
1/9/2019 15:39:22,,5'10,Not sure but I like the North East,,Bora Bora,4,pizza,Baseball,daiquiri,4,Less,1980,This too shall pass
1/9/2019 16:03:06,Shouta Shimizu BTS,168cm,Tokyo,dead,Kyoto,2,casserole,Figure skating,hors d'oeuvre,4,More,2018,
1/9/2019 16:15:54,Thomas Rhett,"6'6""",Chicago,,Santorini,5,pizza,Golf,daiquiri,5,More,1950,"""Our greatest glory is not in never falling, but in rising every time we fall"""
1/9/2019 16:19:59,Queen,"5'4""",New York,Lady Gaga,Germany,5,pizza,Diving,hors d'oeuvre,4,Less,1960,Grow through what you go through
1/9/2019 16:25:48,Kendrick Lamar,6’6,Chicago ,Augustus Caesar ,Brazil (Amazon Rain forest),5,pizza,Football,daiquiri,3,More,2176,"“It matters not how strait the gate, How charged with punishments the scroll, I am the master of my fate:
I am the captain of my soul.” -William Ernest Henley"
1/9/2019 16:43:04,Florence and the Machine,"5'5""",New York City,Marie Curie,Norway,4,pizza,Basketball,hors d'oeuvre,4,Less,2050,“Creativity Is Intelligence Having Fun.” – Albert Einstein
1/9/2019 17:14:36,Travis Scott,"6'6""",Chicago,Mark Wahlberg,Greece,5,pizza,Golf,hors d'oeuvre,6,More,2020,
1/9/2019 17:52:30,Breaking Benjamin,"current height. 5'3""",New York City,Larry Page & Sergey Brin,Bora Bora,3,casserole,Soccer,hors d'oeuvre,3-4,More,2200,“Always work hard on something uncomfortably exciting.” 
1/9/2019 18:21:31,,6'0,San Diego,Yeezy,Italy,5,pizza,Hockey or Basketball,hors d'oeuvre,3,Less,1970,Just do it
1/10/2019 0:30:35,One OK Rock,6',Tokyo,,New Orleans,5,no opinion,,hors d'oeuvre,3,Less,,
1/13/2019 23:39:35,Hans Zimmer - Film Composer,"5' 9""",London (UK) OR Reykjavik (Iceland),Dietrich Bonhoeffer,Dubai,4,pizza,Rugby,daiquiri,3,More,882 AD,What you focus on grows. 
